Data Source,Platform/Station,Lat,Lon,Observation(s)
Oil and Petroleum Industry Participating Platforms  (ADCP),42928 – DESCO 8505 – Mississippi Canyon 521,28.474  {mobile},-88.150  {mobile},"currents, waterTemperature"
Oil and Petroleum Industry Participating Platforms  (ADCP),42930 – Deepwater Champion – Alaminos Canyon 65,26.906  {mobile},-94.906  {mobile},"currents, waterTemperature"
Oil and Petroleum Industry Participating Platforms  (ADCP),42932 – Deepwater Invictus – Green Canyon 521,27.437  {mobile},-90.145  {mobile},"currents, waterTemperature"
Oil and Petroleum Industry Participating Platforms  (ADCP),42933 – Noble Sam Croft – Green Canyon 643,27.333  {mobile},-90.599  {mobile},"currents, waterTemperature"
Oil and Petroleum Industry Participating Platforms  (ADCP),42938 – Ocean Onyx – Mississippi Canyon 674,28.257  {mobile},-89.274  {mobile},"currents, waterTemperature"
Oil and Petroleum Industry Participating Platforms  (ADCP),42939 – Noble Tom Madden – Mississippi Canyon 84,28.859  {mobile},-88.044  {mobile},currents
Oil and Petroleum Industry Participating Platforms  (ADCP),WDEL1 - Shell West Delta 143,28.662,-89.551,"airPressure, airTemperature, winds, dew point"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Gulf of Mexico,26.43448,-81.9647,"airPressure, chlorophyll,  dissolvedOxygen, salinity,  turbidity, waterTemperature"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Redfish Pass,26.55448,-82.17147,"airPressure, chlorophyll,  dissolvedOxygen, salinity,  turbidity, waterTemperature"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Shell Point,26.52548,-82.00315,"airPressure, chlorophyll,  dissolvedOxygen, salinity,  turbidity, waterTemperature"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Fort Myers,26.64934,-81.88097,"airTemperature, chlorophyll, dewTemperature,  dissolvedOxygen,  relativeHumidity, salinity,  turbidity, waterTemperature, winds"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Beautiful Island,26.69549,-81.81381,"chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Blind Pass,26.49661,-82.14787,"chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON McIntyre Creek,26.464487,-82.104367,"chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature"
Sanibel-Captiva  Conservation Foundation (SCCF-RECON),SCCF RECON Tarpon Bay,26.467907,-82.063099,"chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature"
Texas Automated Buoy  System (TABS),TABS B: GA-252,28.9818,-94.9186,"airPressure, airTemperature, currents, relativeHumidity,  waterTemperature, winds"
Texas Automated Buoy  System (TABS),TABS J: PS-1126,26.1914,-97.0507,"airPressure, airTemperature, currents, relativeHumidity,  waterTemperature, winds"
Texas Automated Buoy  System (TABS),TABS K: PI-745,26.2168,-96.4998,"airPressure, airTemperature, currents, relativeHumidity,  waterTemperature, winds"
Texas Automated Buoy  System (TABS),TABS N: HI-A595,27.8903,-94.0367,"airPressure, airTemperature, currents, relativeHumidity,  waterTemperature, winds"
Texas Automated Buoy  System (TABS),TABS V: HI-A389,27.8966,-93.5973,"airPressure, airTemperature, currents, relativeHumidity,  waterTemperature, winds"
Texas Automated Buoy  System (TABS),TABS D: TABS D,27.9396,-96.8429,"currents, waterTemperature"
Texas Automated Buoy  System (TABS),TABS F: TABS F,28.8425,-94.2433,"currents, waterTemperature"
Texas Automated Buoy  System (TABS),TABS R: TABS R,29.635,-93.6417,"currents, waterTemperature"
Texas Automated Buoy  System (TABS),TABS W: TABS W,28.3507,-96.0058,"currents, waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),146: MANERR Station 2 (Copano East): MANERR Station 2 (Copano East),28.13235,-97.03445,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"003: Rincon del San Jose  (87778121): Rincon del San Jose; Potrero Lopeno SW, TX",26.8015,-97.4706,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"005: Packery Channel (87757921): Packery Channel, TX",27.6346,-97.237,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"006: Ingleside (87752831): Port Ingleside, TX",27.8217,-97.204,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"009: Port Aransas (87752371): Port Aransas, TX",27.8398,-97.0727,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"013: S. Bird Island (87761391): South Bird Island, TX",27.4847,-97.3181,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"031: Seadrift (87730371):  Seadrift, TX",28.4073,-96.7122,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"057: Port O'Connor (87737011): Matagorda Bay; Port O'Connor, TX",28.446,-96.3961,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"068: Baffin Bay (87766041): Baffin Bay; Point of Rocks, TX",27.297,-97.4049,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"518: Rollover Pass (87709711): Rollover Pass, TX",29.515,-94.5133,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),"524: Port Arthur (87704751): Port Arthur, TX",29.8672,-93.931,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
Texas Coastal Ocean  Observation Network  (TCOON),127: Bahia Grande Water Quality Station 1: Bahia Grande Water Quality Station 1,28.25976,-96.77369,"currents, dissolvedOxygen,  salinity, waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),"072: SALT01 (Nueces Bay, Texas): SALT01 (Nueces Bay, Texas)",27.839194,-97.443972,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),"074: SALT03 (Nueces Bay, Texas): SALT03 (Nueces Bay, Texas)",27.85155,-97.48203,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),147: MANERR Station 3 (Copano West): MANERR Station 3  (Copano West),28.08405,-97.20094,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),148: MANERR Station 4 (Aransas Bay): MANERR Station 4 (Aransas Bay),27.97985,-97.02879,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),149: MANERR Station 5 (Port Aransas): MANERR Station 5 (Port Aransas),27.83826,-97.05029,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),170: National Park Service - Baffin Bay: National Park Service - Baffin Bay,27.29702,-97.40491,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),171: National Park Service - Bird Island: National Park Service - Bird Island,27.4847,-97.3181,"dissolvedOxygen, salinity,  waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),041: Nueces Delta 1: Nueces Delta 1,27.88969,-97.59163,salinity
Texas Coastal Ocean  Observation Network  (TCOON),042: Nueces Delta 2: Nueces Delta 2,27.8888,-97.5696,"salinity, waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),043: Nueces Delta 3: Nueces Delta 3,27.883783,-97.5332,"salinity, waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),"076: SALT05 (Nueces River,  Texas): SALT05 (Nueces River,  Texas)",27.89183,-97.61045,"salinity, waterTemperature"
Texas Coastal Ocean  Observation Network  (TCOON),079: SALT08: SALT08,27.87078,-97.5177,"salinity, waterTemperature"
Wave-Current-Surge  Information System for  Coastal Louisiana (WAVCIS),"CSI03: Marsh Island, LA",29.4412,-92.0613,"airPressure, airTemperature, waterTemperature, winds, waves"
Wave-Current-Surge  Information System for  Coastal Louisiana (WAVCIS),"CSI06: South Timbalier Block 52, LA",28.8667,-90.4833,"airPressure, airTemperature, waterTemperature, winds, waves"
Wave-Current-Surge  Information System for  Coastal Louisiana (WAVCIS),CSI09: Grand Isle Blocks,29.1015,-89.9782,"airPressure, airTemperature, waterTemperature, winds, waves"
Wave-Current-Surge  Information System for  Coastal Louisiana (WAVCIS),"CSI05: Isle Dernieres, LA",29.0533,-90.5333,"waterTemperature, winds, waves"
Scripps Institution of  Oceanography,"42099: 42099 - Offshore St.  Petersburg, FL (144)",27.34,-84.275,"waterTemperature, waves"
Louisiana Offshore Oil Port (LOOP),"LOPL1: Louisiana Offshore Oil Port, LA",28.885,-90.025,"winds,  waves,  airTemperature,  airPressure"
